feature,importance
MolWt,9.372263382045887e-12
fr_quatN,7.79745625706374e-12
fr_Ar_COO,7.008837954458613e-12
SMR_VSA8,6.722756032417898e-12
LabuteASADensity,6.236866925690698e-12
fr_sulfide,6.1674445932247135e-12
fr_phos_ester,5.840554168773382e-12
BCUT2D_MWHI,5.815325217900513e-12
NumValenceElectronsDensity,5.8062595530150585e-12
NumRotatableBondsDensity,5.567695610109169e-12
NumSaturatedHeterocyclesDensity,5.5024409507942185e-12
fr_NhpyrroleDensity,5.496805701582508e-12
Chi1n,5.270897867476476e-12
fr_NH2,5.151715425782966e-12
EState_VSA9Density,5.1041553796038475e-12
VSA_EState2Density,5.0804404086446375e-12
EState_VSA4,5.061728813871014e-12
FractionCSP3,5.05742279652277e-12
MaxEStateIndex,5.04143905441512e-12
ExactMolWt,5.037107449895606e-12
fr_nitrileDensity,4.938990189051751e-12
MolMR,4.920504542010873e-12
VSA_EState8,4.896706738005685e-12
SlogP_VSA5,4.8683964845586125e-12
NumHeterocyclesDensity,4.838527148387506e-12
PEOE_VSA13Density,4.762143804293295e-12
NumAliphaticCarbocyclesDensity,4.753019158809657e-12
BertzCT,4.7370510292132906e-12
fr_SHDensity,4.7003251985033856e-12
PEOE_VSA13,4.69212646167505e-12
fr_Ar_NH,4.679375810445752e-12
fr_Al_OH,4.675513448626489e-12
fr_nitro_arom,4.641590931053763e-12
fr_lactone,4.624519083645806e-12
fr_hdrzineDensity,4.56388919711781e-12
MaxPartialCharge,4.530857026369128e-12
SMR_VSA7,4.5208936420848556e-12
NumHeteroatomsDensity,4.51280722860159e-12
fr_Ar_OH,4.50392891385154e-12
fr_lactamDensity,4.498218637849494e-12
SMR_VSA5,4.4974818140530726e-12
PEOE_VSA2,4.325595871074173e-12
PhiDensity,4.305270116106152e-12
AvgIpcDensity,4.295278542565395e-12
HeavyAtomCount,4.251700987806251e-12
fr_prisulfonamdDensity,4.246386228756727e-12
RingCount,4.2128917542016975e-12
fr_aryl_methyl,4.169222692779195e-12
SlogP_VSA7,4.126136064763752e-12
RingCountDensity,4.1252249012579956e-12
MaxAbsPartialCharge,4.059977180836949e-12
fr_C_SDensity,4.0344303418871075e-12
fr_aldehyde,3.9838596831154316e-12
PEOE_VSA5Density,3.9407938717817e-12
PEOE_VSA8Density,3.877705882088245e-12
fr_hdrzine,3.864579663226397e-12
EState_VSA2,3.8524496093206295e-12
fr_phenolDensity,3.818911332997832e-12
PEOE_VSA12,3.8136269316091376e-12
SMR_VSA1,3.806639465447903e-12
NumHAcceptors,3.7968053180625905e-12
Chi3n,3.788083128425379e-12
PEOE_VSA14,3.775120840932011e-12
SlogP_VSA6Density,3.7680826341091045e-12
Chi1,3.7576899057645274e-12
fr_ketone,3.739770212257687e-12
EState_VSA11Density,3.714741621946294e-12
PEOE_VSA1,3.705131253889382e-12
MaxAbsEStateIndex,3.699256179157118e-12
fr_Al_OHDensity,3.6875984037176845e-12
fr_diazoDensity,3.683014396932416e-12
fr_Ar_OHDensity,3.679943502699068e-12
fr_para_hydroxylationDensity,3.6322542196209895e-12
fr_phos_esterDensity,3.591610082259722e-12
MolWtDensity,3.5801624252013164e-12
fr_hdrzone,3.5391873893370063e-12
fr_piperzine,3.52902277712952e-12
NumUnspecifiedAtomStereoCentersDensity,3.506864503649565e-12
fr_nitrosoDensity,3.4868238938529084e-12
MolLogP,3.475080466441849e-12
fr_azide,3.4673737405593874e-12
fr_azideDensity,3.4577885259928776e-12
fr_Ar_NDensity,3.4552445540153576e-12
fr_dihydropyridine,3.4128591879650783e-12
SlogP_VSA6,3.3933981926498324e-12
BCUT2D_MWLOWDensity,3.3808832469728323e-12
fr_oxime,3.350641595775694e-12
VSA_EState1,3.3255126083431286e-12
fr_thiocyan,3.3006063160367916e-12
fr_phos_acid,3.264739173447495e-12
SMR_VSA7Density,3.2576326618877216e-12
SlogP_VSA1,3.2544687431079744e-12
fr_aniline,3.2402561536692964e-12
fr_Nhpyrrole,3.228980451075447e-12
fr_COO2Density,3.2166571923425424e-12
fr_lactam,3.216562866753536e-12
fr_benzene,3.189581411489062e-12
VSA_EState8Density,3.188518025998288e-12
fr_benzeneDensity,3.1589665779041542e-12
fr_ester,3.1573270473789217e-12
fr_barbiturDensity,3.1550487049336606e-12
BCUT2D_CHGHIDensity,3.139348373273898e-12
VSA_EState4Density,3.1104235940354608e-12
fr_Imine,3.084011128071107e-12
SMR_VSA2,3.0629210105714844e-12
qed,2.946832665037813e-12
NOCount,2.93365266974821e-12
LabuteASA,2.9127386266813993e-12
fr_isothiocyan,2.899291483976496e-12
HeavyAtomMolWt,2.8807253891344198e-12
NumSaturatedRings,2.874307562794609e-12
EState_VSA9,2.8707225398910685e-12
EState_VSA7Density,2.840691440755827e-12
NumSaturatedCarbocyclesDensity,2.815036181588737e-12
fr_N_O,2.8122135696528883e-12
SlogP_VSA12Density,2.8035622868377574e-12
NumAtomStereoCenters,2.7697835344731025e-12
NumSaturatedCarbocycles,2.764398735963236e-12
SMR_VSA10Density,2.757624857629981e-12
MinEStateIndexDensity,2.7198809610801122e-12
PEOE_VSA9Density,2.709428384775614e-12
PEOE_VSA9,2.695167873600912e-12
fr_oxazoleDensity,2.6738116928881617e-12
EState_VSA8Density,2.673502912109438e-12
BCUT2D_MWLOW,2.66502922161016e-12
BCUT2D_MRLOWDensity,2.662948854481595e-12
fr_unbrch_alkane,2.656397020753265e-12
fr_furanDensity,2.6555606671974097e-12
SMR_VSA6Density,2.6533332822542555e-12
fr_ketone_Topliss,2.6515879335969883e-12
SlogP_VSA10,2.6055752607584415e-12
fr_ether,2.604530740385469e-12
PEOE_VSA11Density,2.5953347543988814e-12
SlogP_VSA4,2.5924653049291813e-12
NumAtomStereoCentersDensity,2.530989740706646e-12
Kappa1,2.5220851882640227e-12
SlogP_VSA3,2.5219062949055626e-12
NumSaturatedRingsDensity,2.5181282840153196e-12
MinAbsPartialCharge,2.5141670429579266e-12
fr_N_ODensity,2.472709320286426e-12
fr_aryl_methylDensity,2.46888729078798e-12
fr_azo,2.4634435116799303e-12
NumAliphaticRingsDensity,2.4557257269353094e-12
fr_SH,2.4159855973454603e-12
VSA_EState3,2.4061204417780147e-12
fr_phenol_noOrthoHbond,2.4043237019377717e-12
MinPartialCharge,2.4004992871945463e-12
fr_allylic_oxid,2.3978909136079807e-12
Chi4v,2.3480726911440097e-12
fr_Ndealkylation2Density,2.3284325856298693e-12
NOCountDensity,2.3184373258017255e-12
PEOE_VSA2Density,2.307748176583191e-12
Chi4n,2.3016350110538486e-12
fr_guanidoDensity,2.2852264785350185e-12
fr_esterDensity,2.2764140832770563e-12
