feature,importance
MolWt,14.55809497833252
fr_benzeneDensity,14.006278991699219
NumHDonors,13.166975975036621
HeavyAtomCount,10.083931922912598
TPSADensity,9.49776840209961
MolLogP,9.173543930053711
fr_amide,8.22459602355957
fr_ether,8.10287857055664
fr_benzene,6.615818500518799
NumRotatableBonds,6.315021514892578
MolWtDensity,6.13193416595459
fr_ester,5.976046085357666
MaxAbsPartialCharge,5.9735870361328125
fr_esterDensity,5.460376262664795
NumRotatableBondsDensity,4.753267288208008
NumHAcceptorsDensity,4.456181049346924
TPSA,3.8170673847198486
MaxPartialCharge,3.6946585178375244
NumAromaticRingsDensity,3.6766836643218994
fr_C_ODensity,3.668100118637085
NumHAcceptors,3.551030158996582
NumHDonorsDensity,3.3119096755981445
fr_amideDensity,2.8042447566986084
fr_C_O,2.458048105239868
NumAromaticRings,1.9247534275054932
fr_etherDensity,1.9008498191833496
MinPartialCharge,1.772970199584961
