,P3HP,PBSA,PVA,PBS,PE,P4HB,PET,PHBV,PBAT,PEG,NR,PHB,PES,PHO,LDPE,PCL,PLA
P3HP,0.0,1.0191596,0.9964159,1.0113792,0.9993356,0.009665847,0.9980643,1.00188,1.0072172,0.99271774,1.0017062,0.97004914,0.8327251,1.007584,0.9993356,1.0147014,1.0029855
PBSA,1.0191596,0.0,0.9906071,0.57782173,0.9586743,1.0148758,0.9796063,0.9606188,0.91062975,0.99075806,0.9971621,0.94544446,0.7723056,0.9895332,0.9586743,0.7589602,0.80515295
PVA,0.9964159,0.9906071,0.0,0.99636906,0.9971576,0.99817455,0.9959853,0.99902517,0.9862633,1.0027109,1.0007058,0.9994776,0.99814945,1.0013417,0.9971576,1.000117,1.0036814
PBS,1.0113792,0.57782173,0.99636906,0.0,0.9564886,1.0107851,0.97024155,1.0006388,0.95898587,0.98713195,0.9974882,0.9026404,0.7900021,0.99373966,0.9564886,0.7856064,0.81292784
PE,0.9993356,0.9586743,0.9971576,0.9564886,0.0,0.9947083,0.9358159,1.0021056,0.98356843,1.0019846,1.0019882,0.9276433,0.964407,1.0023516,1.1920929e-07,0.93299496,0.95722806
P4HB,0.009665847,1.0148758,0.99817455,1.0107851,0.9947083,0.0,0.9987103,1.0001732,1.0055836,0.99367875,1.0016861,0.96976894,0.83235717,1.0041393,0.9947083,1.0148269,1.0059017
PET,0.9980643,0.9796063,0.9959853,0.97024155,0.9358159,0.9987103,0.0,1.0016464,0.94391865,1.002794,0.99700844,0.9871705,0.98819655,0.9952101,0.9358159,0.8978438,0.96789765
PHBV,1.00188,0.9606188,0.99902517,1.0006388,1.0021056,1.0001732,1.0016464,0.0,1.0004852,0.9961761,0.9982026,0.97478527,0.8155775,0.77684975,1.0021056,0.9097146,0.9373409
PBAT,1.0072172,0.91062975,0.9862633,0.95898587,0.98356843,1.0055836,0.94391865,1.0004852,0.0,1.0013605,0.9975016,0.9981603,0.9555878,0.99745244,0.98356843,0.94545317,0.95335644
PEG,0.99271774,0.99075806,1.0027109,0.98713195,1.0019846,0.99367875,1.002794,0.9961761,1.0013605,0.0,1.0085531,1.0086364,0.99680156,0.999394,1.0019846,1.0051526,0.9925542
NR,1.0017062,0.9971621,1.0007058,0.9974882,1.0019882,1.0016861,0.99700844,0.9982026,0.9975016,1.0085531,0.0,0.99705535,0.9995124,0.998923,1.0019882,0.99829394,0.99876535
PHB,0.97004914,0.94544446,0.9994776,0.9026404,0.9276433,0.96976894,0.9871705,0.97478527,0.9981603,1.0086364,0.99705535,0.0,0.904384,1.0023572,0.9276433,0.88721126,0.9212589
PES,0.8327251,0.7723056,0.99814945,0.7900021,0.964407,0.83235717,0.98819655,0.8155775,0.9555878,0.99680156,0.9995124,0.904384,0.0,0.8898318,0.964407,0.74599844,0.8335942
PHO,1.007584,0.9895332,1.0013417,0.99373966,1.0023516,1.0041393,0.9952101,0.77684975,0.99745244,0.999394,0.998923,1.0023572,0.8898318,0.0,1.0023516,0.9516183,0.9648397
LDPE,0.9993356,0.9586743,0.9971576,0.9564886,1.1920929e-07,0.9947083,0.9358159,1.0021056,0.98356843,1.0019846,1.0019882,0.9276433,0.964407,1.0023516,0.0,0.93299496,0.95722806
PCL,1.0147014,0.7589602,1.000117,0.7856064,0.93299496,1.0148269,0.8978438,0.9097146,0.94545317,1.0051526,0.99829394,0.88721126,0.74599844,0.9516183,0.93299496,0.0,0.76617295
PLA,1.0029855,0.80515295,1.0036814,0.81292784,0.95722806,1.0059017,0.96789765,0.9373409,0.95335644,0.9925542,0.99876535,0.9212589,0.8335942,0.9648397,0.95722806,0.76617295,0.0
