,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
P3HP,-0.15778637,-0.0350357,0.036211327,0.26215175,-0.059623543,0.068229936,-0.014962081,-0.074231446,-0.30308616,-0.06470191,-0.18376921,-0.41930744,-0.22164889,-0.11884514,-0.07136685,0.04977659,0.034178738,-0.033027627,0.1403546,-0.12430103,-0.037550658,0.07532733,0.0006514938,0.19097427,0.08329418,-0.17974605,0.0413735,0.0048391726,0.16921398,-0.17933968,-0.12366594,0.2867567,-0.16172715,-0.03194066,-0.0066816853,0.08675668,-0.12088577,-0.29963607,-0.12550223,-0.22066247,0.17809963,0.058952544,-0.27593923,0.031037102,0.045597453,-0.10872292,0.16011027,0.12279429,0.13041572,-0.11111768,0.1693675,-0.16692686,0.065438986,0.17471917,0.024597341,0.09429607,0.14539124,-0.1663084,0.19111262,0.040238667,0.11028807,0.14295053,-0.059907965,-0.007196249
PBSA,0.017470136,-0.040376894,0.05428991,-0.06311028,0.0008584221,-0.1352983,-0.015002277,0.018032324,0.12984082,0.030311853,-0.031748865,-0.013187541,-0.04092788,0.06621974,-0.16866878,-0.1230461,-0.05999721,0.021484595,0.047794864,-0.09261795,0.0031672155,-0.10766996,-0.014102946,0.1065329,-0.16568874,-0.15454929,-0.0113049,0.05368304,0.06312994,0.08626819,-0.029630046,0.14364016,-0.009897812,0.024125004,0.06893636,0.011583929,-0.031424057,0.146157,0.029217962,-0.0114273215,0.008044988,-0.02652761,0.065017976,0.16499592,-0.08973818,-0.057979617,0.11967576,0.06561822,-0.07679077,-0.046236027,-0.1036645,0.019178387,0.05969303,-0.022487426,-0.024044758,-0.0029244488,0.093065895,0.053133573,0.0034890112,0.017571328,0.025567304,-0.02735355,0.0060757534,0.07142146
PVA,-0.13911416,-0.13159926,-0.12148284,0.17362662,-0.1817415,-0.071145184,-0.35792583,0.092058115,-0.06021228,-0.10618725,0.003612619,0.33442137,0.43867043,-6.612684e-05,0.21594205,-0.012688805,-0.11725496,0.27186638,-0.1770027,-0.015169339,-0.10243674,0.09443646,0.39313814,-0.0094703175,-0.040222358,-0.0288778,0.110888705,0.19651054,0.23917176,0.15124486,-0.079941206,0.09602038,-0.08449426,-0.12974083,0.21130808,-0.12557405,0.04591461,-0.09229511,0.008526781,-0.23226075,-0.11382855,0.04347325,-0.08534575,0.118722945,0.16954188,0.09615897,0.018655946,-0.2963045,-0.117243014,0.40949836,0.091065146,-0.23993976,-0.21500497,0.26105148,0.016311828,0.11388205,0.5580012,0.06779676,-0.14055425,0.011592289,0.21825536,-0.068606324,0.19563664,0.3968986
PBS,-0.14929508,0.027948355,0.09130618,-0.017799735,-0.08920588,-0.1426512,-0.06436999,-0.03136972,0.18935852,0.06949272,-0.0050171805,0.16519178,-0.15724987,-0.06583359,-0.17136468,0.012605036,0.055459607,-0.043661628,-0.02457191,-0.06707708,0.0022961681,-0.036495972,-0.031770296,0.10710721,-0.36582914,-0.11915768,-0.056673106,0.00051536725,0.07441917,0.15458772,0.07081743,0.008523279,-0.02325194,0.13028868,0.09002405,-0.084862076,0.048594322,0.13212244,-0.14888911,-0.08972483,0.16117848,-0.06691985,-0.026764808,0.0433193,0.031270213,-0.015028464,0.061588403,-0.11454351,0.11752559,-0.045453694,-0.031079063,0.0061284555,-0.13432811,-0.07611571,-0.06328365,0.03305107,0.10168996,-0.14604375,-0.04581867,-0.037624687,-0.067877725,0.06265845,-0.15964688,-0.05132501
PE,-0.12187275,0.04681932,0.3239753,0.18090889,0.06862841,-0.37875864,-0.5322658,-0.43204284,-0.048750807,0.118066534,0.40359184,0.14239082,0.14446269,0.066405565,-0.05823694,-0.33670098,-0.12760323,0.030422641,0.008881138,-0.10617946,0.43581656,0.25245413,0.049695466,0.4485378,0.19572274,0.0658954,0.115500994,-0.10858268,-0.4881322,0.329645,0.42971042,-0.081766814,-0.10561663,0.2960723,-0.091487065,0.06278301,0.040030405,-0.07695206,0.041109152,-0.25849068,-0.095802754,0.3560648,-0.30570185,0.07166485,0.18756536,0.19839385,0.058166347,0.17924093,-0.02056472,-0.13545367,-0.35831243,0.04237756,0.027426653,0.24061605,-0.13194895,0.28421995,-0.28319466,0.16001801,0.38487202,0.10536219,0.020599505,-0.08121557,-0.007115991,-0.04386317
P4HB,-0.10001647,-0.012189723,0.062911496,0.19454648,-0.047334593,0.053102173,-0.0029995819,-0.06822916,-0.23019704,-0.05779123,-0.16020969,-0.27066568,-0.18179905,-0.08461677,-0.074016936,0.021287091,0.015186611,-0.040254183,0.12867625,-0.07503981,-0.018959967,0.063550554,0.00767508,0.13217032,0.069269486,-0.13138689,0.05095128,-0.008706178,0.13453211,-0.1332774,-0.07857279,0.21152951,-0.12148963,-0.017442971,0.013641033,0.06376153,-0.117247105,-0.24153411,-0.074893475,-0.14234698,0.14020155,0.047075383,-0.19606815,-0.01693802,0.013302612,-0.085187495,0.11560011,0.09510621,0.08923762,-0.06485548,0.10092845,-0.12646896,0.030443775,0.11696055,0.0032106845,0.079018764,0.120465785,-0.116178416,0.13876942,0.027547736,0.0992375,0.111221895,-0.041147497,0.005223796
PET,-0.1647896,0.09143552,0.8440355,0.2053035,0.16738361,0.21864663,0.032908607,0.18081768,-0.11594306,-0.41529998,-0.03632115,0.3277195,-0.088024154,-0.2945675,0.07132515,0.17606492,0.42657846,-0.17293492,-0.3084746,0.119513825,-0.43582,0.22877192,-0.14205201,0.46713495,-0.38947043,-0.405311,0.14198531,-0.26620674,-0.4055717,0.5429871,-0.35392967,-0.057189275,0.11055197,0.18818916,-0.690474,0.33535945,-0.09328699,0.040265422,-0.7192417,-0.02528198,-0.15691921,-0.16102111,0.42116797,-0.123295896,0.22009194,-0.21451674,-0.1674948,0.6899785,-0.109911665,0.40580907,0.23361365,0.34349442,0.05325443,0.4941491,0.33351544,-0.08383259,0.104955345,0.63953894,0.15811364,-0.13265347,-0.19673307,-0.18631122,0.11452393,0.44378012
PHBV,0.13288034,-0.124625966,0.28749955,-0.11362468,0.0652639,0.28328893,0.15608206,-0.049885,0.16417594,0.085216664,-0.07201272,-0.00405622,-0.02023018,-0.13435099,0.27933344,-0.22047433,-0.20752414,-0.032924823,0.16064629,0.06327932,0.34049124,0.09552785,-0.11186023,0.018547518,0.097675316,0.15554868,0.033197254,0.13416536,-0.049995348,-0.08855522,-0.1968771,0.3087467,-0.06437611,0.38850725,-0.17316814,-0.016568685,0.074832976,0.088416785,0.07054365,-0.15890723,-0.11177693,0.19166568,0.14292426,0.041042406,0.11414465,-0.093385786,-0.0800848,-0.19977422,0.21710907,-0.20092721,-0.20572706,-0.2512407,-0.009274886,0.058920886,0.26772228,-0.20094666,0.40173215,-0.03194552,-0.17367668,-0.08370813,-0.3188651,-0.12533063,-0.16424756,0.100310676
PBAT,-0.010109904,0.19146724,0.18360858,-0.15415773,-0.11258372,-0.13193302,0.09335793,0.17690828,-0.21007189,0.071506955,-0.027500644,0.07658495,0.031972278,0.060823265,0.22753835,-0.2669587,-0.16877915,0.05134526,0.0112131415,0.051200666,-0.13939007,-0.19869362,-0.19646856,0.24343845,-0.17274338,-0.046236273,0.013030117,-0.18885387,0.119488224,0.07496889,-0.045735452,0.081151366,-0.004422253,0.051287282,-0.09452242,0.1449488,0.036337677,-0.040875543,0.24145892,0.14285988,-0.014484566,-0.15942797,-0.108927846,0.07242194,0.15449895,0.09498935,0.07238337,-0.116462484,0.04329351,0.32891306,-0.05729393,-0.0027251774,0.14976189,0.11321026,0.18422057,0.072219715,-0.20070621,-0.24824,-0.048052143,0.18072611,0.025646683,0.075008385,-0.12859005,0.031227771
PEG,-0.13095985,0.20262793,-0.15179263,0.17709592,-0.09694738,0.35661528,0.04480764,-0.11256464,-0.07747946,0.072874345,-0.04296045,-0.114408724,0.09837429,0.38791803,0.1475733,-0.080553845,0.20212318,-0.17584829,0.07539076,0.1128285,-0.120032355,-0.3915094,0.18862405,-0.17942376,0.029839113,-0.47599885,0.007318301,0.03431818,-0.046426542,0.16316171,0.084850535,0.18156922,-0.044129204,0.25656167,0.19791803,-0.24196023,-0.0061506024,-0.037250333,0.024412293,0.026900351,-0.06947862,-0.07048849,-0.004028997,0.059592746,0.21396321,0.05974729,-0.40245873,0.031307857,-0.18519005,-0.21318954,-0.20593664,0.053306255,-0.08517889,0.045889582,0.13189574,0.2552851,-0.09201197,0.113335475,0.032517776,-0.17586392,-0.09810311,0.12879945,-0.2696437,0.09043542
