,P3HP,PBSA,PVA,PBS,PE,P4HB,PET,PHBV,PBAT,PEG,NR,PHB,PES,PHO,LDPE,PCL,PLA
P3HP,1.0,-0.019159501,0.0035840767,-0.011379286,0.000664436,0.99033415,0.0019357423,-0.0018800278,-0.0072171898,0.007282269,-0.0017062529,0.029950848,0.16727489,-0.007583929,0.000664436,-0.014701398,-0.0029854197
PBSA,-0.019159501,1.0,0.009392924,0.42217824,0.041325673,-0.014875749,0.02039371,0.039381217,0.08937022,0.009241962,0.0028378842,0.054555535,0.22769439,0.010466784,0.041325673,0.24103983,0.19484705
PVA,0.0035840767,0.009392924,1.0,0.0036309436,0.002842449,0.0018254303,0.004014658,0.00097484415,0.013736703,-0.002710916,-0.000705813,0.0005223585,0.001850517,-0.0013417376,0.002842449,-0.00011690429,-0.003681446
PBS,-0.011379286,0.42217824,0.0036309436,1.0,0.043511383,-0.010785133,0.029758446,-0.000638803,0.04101411,0.012868051,0.0025117747,0.09735958,0.20999792,0.0062603205,0.043511383,0.21439359,0.18707217
PE,0.000664436,0.041325673,0.002842449,0.043511383,1.0,0.0052917083,0.064184114,-0.0021055914,0.016431587,-0.0019846451,-0.0019881814,0.07235669,0.03559298,-0.002351626,0.9999999,0.06700501,0.042771943
P4HB,0.99033415,-0.014875749,0.0018254303,-0.010785133,0.0052917083,1.0,0.0012897322,-0.00017324656,-0.0055836164,0.00632125,-0.0016860651,0.03023104,0.16764286,-0.00413933,0.0052917083,-0.014826926,-0.0059016766
PET,0.0019357423,0.02039371,0.004014658,0.029758446,0.064184114,0.0012897322,1.0,-0.0016463434,0.056081332,-0.00279408,0.0029915299,0.012829495,0.011803447,0.0047898926,0.064184114,0.102156214,0.032102358
PHBV,-0.0018800278,0.039381217,0.00097484415,-0.000638803,-0.0021055914,-0.00017324656,-0.0016463434,1.0,-0.00048520675,0.0038238966,0.0017973713,0.02521475,0.18442252,0.22315022,-0.0021055914,0.09028542,0.06265911
PBAT,-0.0072171898,0.08937022,0.013736703,0.04101411,0.016431587,-0.0055836164,0.056081332,-0.00048520675,1.0,-0.0013605889,0.0024983957,0.0018397237,0.044412218,0.0025475596,0.016431587,0.054546848,0.04664355
PEG,0.007282269,0.009241962,-0.002710916,0.012868051,-0.0019846451,0.00632125,-0.00279408,0.0038238966,-0.0013605889,1.0,-0.008553162,-0.008636349,0.0031984344,0.00060598855,-0.0019846451,-0.005152563,0.0074458136
NR,-0.0017062529,0.0028378842,-0.000705813,0.0025117747,-0.0019881814,-0.0016860651,0.0029915299,0.0017973713,0.0024983957,-0.008553162,1.0,0.0029446243,0.00048764874,0.0010770075,-0.0019881814,0.0017060494,0.001234624
PHB,0.029950848,0.054555535,0.0005223585,0.09735958,0.07235669,0.03023104,0.012829495,0.02521475,0.0018397237,-0.008636349,0.0029446243,1.0,0.095616,-0.0023572673,0.07235669,0.11278873,0.0787411
PES,0.16727489,0.22769439,0.001850517,0.20999792,0.03559298,0.16764286,0.011803447,0.18442252,0.044412218,0.0031984344,0.00048764874,0.095616,1.0,0.11016824,0.03559298,0.25400156,0.1664058
PHO,-0.007583929,0.010466784,-0.0013417376,0.0062603205,-0.002351626,-0.00413933,0.0047898926,0.22315022,0.0025475596,0.00060598855,0.0010770075,-0.0023572673,0.11016824,1.0,-0.002351626,0.04838167,0.035160333
LDPE,0.000664436,0.041325673,0.002842449,0.043511383,0.9999999,0.0052917083,0.064184114,-0.0021055914,0.016431587,-0.0019846451,-0.0019881814,0.07235669,0.03559298,-0.002351626,1.0,0.06700501,0.042771943
PCL,-0.014701398,0.24103983,-0.00011690429,0.21439359,0.06700501,-0.014826926,0.102156214,0.09028542,0.054546848,-0.005152563,0.0017060494,0.11278873,0.25400156,0.04838167,0.06700501,1.0,0.23382705
PLA,-0.0029854197,0.19484705,-0.003681446,0.18707217,0.042771943,-0.0059016766,0.032102358,0.06265911,0.04664355,0.0074458136,0.001234624,0.0787411,0.1664058,0.035160333,0.042771943,0.23382705,1.0
