,Impranil,P(3HB-co-3MP),ECOFLEX,PCL,PLA,O-PVA,PMCL,PHO,PHBH,LDPE,PPL,PEA,P4HB,PHBV,PBSeT,PET,PHBVH,NR,PBAT,PEG,PEF,PHV,PES,PHB,Nylon,P3HP,PE,PBSA,PVA,PBS,PS,PA,PHPV,PU
Impranil,1.0,0.42227802,0.36138907,0.60964954,0.42462054,0.23004812,0.14802241,0.38021988,0.48271486,0.24591538,0.42462054,-0.06671831,-0.120410204,0.43428835,0.4480694,0.40521052,0.31090537,0.4844152,0.41875985,-0.23569576,0.254263,0.44229898,0.2542713,0.41372108,0.69238675,-0.03444392,0.24591538,0.40819183,0.22806287,0.38462543,0.35481972,0.69238675,-0.050014406,0.7542664
P(3HB-co-3MP),0.42227802,1.0,0.5397408,0.7649337,0.6392218,0.28365573,0.17644274,0.6214268,0.6477064,0.684537,0.6392218,0.5622043,0.4920478,0.78295296,0.46618915,0.57201385,0.39436495,0.78095543,0.59182316,0.13041963,0.44596133,0.99303246,0.7295257,0.84721357,0.419695,0.6211026,0.684537,0.62159586,0.28149158,0.63825697,0.78321296,0.419695,0.18706755,0.5341129
ECOFLEX,0.36138907,0.5397408,1.0,0.8078424,0.79537874,0.3525674,0.11404094,0.4895439,0.53969145,0.46991286,0.79537874,0.21423323,0.116600126,0.6024264,0.7633293,0.80661,0.43624163,0.66788644,0.88297373,0.20936519,0.7166312,0.5143139,0.6664502,0.778307,0.4396303,0.2546648,0.46991286,0.94415975,0.3516866,0.9016542,0.6527612,0.4396303,0.011415919,0.63614124
PCL,0.60964954,0.7649337,0.8078424,1.0,0.93011004,0.60655,0.32346737,0.7923868,0.8550813,0.57745457,0.93011004,0.3912107,0.28745878,0.9104163,0.70035654,0.768909,0.7244696,0.81257415,0.8229421,0.2872798,0.64611477,0.76731294,0.7783365,0.93393135,0.5972551,0.44940683,0.57745457,0.87565076,0.6052711,0.83963567,0.7151652,0.5972551,0.35986015,0.77626866
PLA,0.42462054,0.6392218,0.79537874,0.93011004,1.0,0.7112946,0.107364245,0.82010245,0.8209978,0.58227193,1.0,0.4158984,0.27938834,0.8559457,0.69524163,0.81328887,0.73651993,0.8420363,0.8524881,0.45458388,0.7653758,0.63160866,0.8041905,0.91384435,0.5735048,0.47133878,0.58227193,0.89034927,0.7111504,0.86738056,0.7451852,0.5735048,0.35857484,0.74318004
O-PVA,0.23004812,0.28365573,0.3525674,0.60655,0.7112946,1.0,0.04922468,0.60190123,0.6724505,0.3592162,0.7112946,0.3283515,0.21530065,0.64697397,0.5226651,0.47468284,0.7031605,0.56410486,0.5172456,0.67044914,0.4804416,0.29024443,0.5270683,0.58404297,0.3989968,0.36975443,0.3592162,0.50544727,0.99992967,0.4833195,0.3894827,0.3989968,0.48813146,0.48639762
PMCL,0.14802241,0.17644274,0.11404094,0.32346737,0.107364245,0.04922468,1.0,0.32446992,0.30999225,-0.10074523,0.107364245,0.16697071,0.26210395,0.36951214,-0.076202035,-0.11348307,0.38291675,-0.18208282,-0.047927458,0.0405014,-0.25300777,0.20642549,0.13181303,0.18891358,-0.19332735,0.15347125,-0.10074523,0.054946683,0.048487566,-0.017227687,-0.19865835,-0.19332735,0.56033266,-0.08199301
PHO,0.38021988,0.6214268,0.4895439,0.7923868,0.82010245,0.60190123,0.32446992,1.0,0.7511367,0.43004993,0.82010245,0.5046371,0.42030892,0.8073586,0.45418075,0.49956068,0.6707075,0.62678546,0.5526277,0.46856034,0.42866766,0.6441452,0.74038607,0.7752596,0.31803763,0.5400554,0.43004993,0.584295,0.60087633,0.5648988,0.5584914,0.31803763,0.45754957,0.47363755
PHBH,0.48271486,0.6477064,0.53969145,0.8550813,0.8209978,0.6724505,0.30999225,0.7511367,1.0,0.24812564,0.8209978,0.1598421,0.053628698,0.9621469,0.36529154,0.4243304,0.9377316,0.64792275,0.48803657,0.1754119,0.33688742,0.6542171,0.48704144,0.7341629,0.40894097,0.23783739,0.24812564,0.58560663,0.6709406,0.518609,0.47764355,0.40894097,0.62971693,0.54481924
LDPE,0.24591538,0.684537,0.46991286,0.57745457,0.58227193,0.3592162,-0.10074523,0.43004993,0.24812564,1.0,0.58227193,0.8129988,0.7356491,0.42764008,0.6606779,0.8238967,0.047708083,0.79413825,0.7681641,0.5049873,0.80084354,0.6799014,0.8729989,0.7800295,0.54480267,0.8259136,0.99999994,0.684392,0.35982117,0.77352965,0.8432713,0.54480267,-0.082276024,0.6288564
