,Impranil,P(3HB-co-3MP),ECOFLEX,PCL,PLA,O-PVA,PMCL,PHO,PHBH,LDPE,PPL,PEA,P4HB,PHBV,PBSeT,PET,PHBVH,NR,PBAT,PEG,PEF,PHV,PES,PHB,Nylon,P3HP,PE,PBSA,PVA,PBS,PS,PA,PHPV,PU
Impranil,0.0,0.7447792,0.5542706,0.27874833,0.58987737,0.6919952,0.4058357,0.27995533,0.74557877,0.5288621,0.58987737,0.75634074,0.6925103,0.6844506,0.6929903,0.45806396,0.68219984,0.47624028,0.49172884,0.61534786,0.60708123,0.7453995,0.49861914,0.68466496,0.2980994,0.63048637,0.5288621,0.46006942,0.70197785,0.48597068,0.5997473,0.2980994,0.6851553,0.21161038
P(3HB-co-3MP),0.7447792,0.0,1.1082002,0.36633235,0.64482164,0.41465724,0.14112723,0.63081133,1.9669533e-06,0.693343,0.64482164,0.45491672,0.36773598,0.14069188,1.3056219,0.9339346,0.18779856,1.0822344,0.9872376,0.4965967,1.0318452,1.5497208e-06,0.6040226,0.36773252,0.8997174,0.616038,0.693343,0.86881566,0.40464377,0.9011946,1.0298328,0.8997174,0.3676123,0.837622
ECOFLEX,0.5542706,1.1082002,0.0,0.48135597,0.34412694,0.6705953,0.7065527,0.37254947,1.108502,0.37042713,0.34412694,0.6302351,0.5826441,0.77418983,0.056568623,0.10805273,0.723319,0.37291622,0.027571678,0.53777796,0.11555737,1.1081748,0.28927654,0.57590914,0.5313306,0.39265347,0.37042713,0.084787965,0.6651118,0.07436013,0.4616254,0.5313306,0.57637703,0.34280145
PCL,0.27874833,0.36633235,0.48135597,0.0,0.2483738,0.30968338,0.0599851,0.054974973,0.36654568,0.3086608,0.2483738,0.32014406,0.2522725,0.22842586,0.7391635,0.30312926,0.22563398,0.47053134,0.3533005,0.25219607,0.42934543,0.36633867,0.14334702,0.24704748,0.4597103,0.2640612,0.3086608,0.2572887,0.29417676,0.2927462,0.48947108,0.4597103,0.24732655,0.29506195
PLA,0.58987737,0.64482164,0.34412694,0.2483738,0.0,0.20809275,0.35593587,0.19403857,0.64434916,0.1759314,0.0,0.12743515,0.06908697,0.22899896,0.5940534,0.12694818,0.1799599,0.47603977,0.20005745,0.104765415,0.161601,0.6440444,0.041604638,0.06696957,0.3769564,0.0037350655,0.1759314,0.13008696,0.18146539,0.13466793,0.32887673,0.3769564,0.06713778,0.23833483
O-PVA,0.6919952,0.41465724,0.6705953,0.30968338,0.20809275,0.0,0.29438508,0.3674687,0.41403532,0.36532265,0.20809275,0.111617565,0.12508875,0.1643669,0.9107864,0.44032562,0.1451912,0.90840274,0.51417184,0.13623524,0.51480746,0.4138825,0.20388669,0.12613636,0.6273527,0.18448949,0.36532265,0.41288596,0.005620718,0.43012327,0.7518228,0.6273527,0.12605858,0.5033902
PMCL,0.4058357,0.14112723,0.7065527,0.0599851,0.35593587,0.29438508,0.0,0.21412754,0.14127952,0.41140473,0.35593587,0.31840956,0.2362032,0.117666304,0.9617479,0.5148457,0.13734943,0.6807991,0.5704966,0.29261076,0.6422337,0.14114624,0.26532984,0.23270714,0.60010755,0.35393548,0.41140473,0.45551437,0.27961534,0.49327582,0.67505443,0.60010755,0.23283988,0.46424508
PHO,0.27995533,0.63081133,0.37254947,0.054974973,0.19403857,0.3674687,0.21412754,0.0,0.6309133,0.273997,0.19403857,0.34631264,0.30299258,0.37917072,0.6255001,0.18859142,0.3531136,0.32895744,0.247643,0.25909984,0.293508,0.63066614,0.104396164,0.29755008,0.37940013,0.21866316,0.273997,0.16716677,0.34781796,0.19620353,0.33704913,0.37940013,0.29788613,0.21785074
PHBH,0.74557877,1.9669533e-06,1.108502,0.36654568,0.64434916,0.41403532,0.14127952,0.6309133,0.0,0.69271296,0.64434916,0.453919,0.3671143,0.14028782,1.3060267,0.9337619,0.1873396,1.0822073,0.98734176,0.49613535,1.0315294,0.0,0.60364044,0.3671316,0.89972603,0.6154346,0.69271296,0.86876565,0.403934,0.9011084,1.0294261,0.89972603,0.36701024,0.83768374
LDPE,0.5288621,0.693343,0.37042713,0.3086608,0.1759314,0.36532265,0.41140473,0.273997,0.69271296,0.0,0.1759314,0.15147388,0.23470932,0.36154073,0.5587728,0.13001966,0.3231581,0.2979042,0.24164867,0.26161093,0.14602917,0.69247085,0.12072146,0.23441207,0.3698827,0.16876155,5.9604645e-08,0.15995675,0.31221962,0.15850097,0.2541561,0.3698827,0.23448968,0.21871579
PPL,0.58987737,0.64482164,0.34412694,0.2483738,0.0,0.20809275,0.35593587,0.19403857,0.64434916,0.1759314,0.0,0.12743515,0.06908697,0.22899896,0.5940534,0.12694818,0.1799599,0.47603977,0.20005745,0.104765415,0.161601,0.6440444,0.041604638,0.06696957,0.3769564,0.0037350655,0.1759314,0.13008696,0.18146539,0.13466793,0.32887673,0.3769564,0.06713778,0.23833483
PEA,0.75634074,0.45491672,0.6302351,0.32014406,0.12743515,0.111617565,0.31840956,0.34631264,0.453919,0.15147388,0.12743515,0.0,0.05849701,0.13901186,0.87868255,0.3239252,0.10969746,0.64171374,0.4521265,0.12819803,0.3544305,0.45374757,0.12784821,0.0612607,0.54713774,0.09416723,0.15147388,0.33064812,0.07240379,0.33774644,0.46474898,0.54713774,0.06110841,0.4230109
P4HB,0.6925103,0.36773598,0.5826441,0.2522725,0.06908697,0.12508875,0.2362032,0.30299258,0.3671143,0.23470932,0.06908697,0.05849701,0.0,0.060515106,0.849887,0.31779534,0.034582973,0.6735389,0.41314417,0.093010366,0.36348712,0.366889,0.114399195,8.094311e-05,0.50129205,0.050568223,0.23470932,0.30778766,0.097302556,0.3179719,0.48838186,0.50129205,7.146597e-05,0.38417935
PHBV,0.6844506,0.14069188,0.77418983,0.22842586,0.22899896,0.1643669,0.117666304,0.37917072,0.14028782,0.36154073,0.22899896,0.13901186,0.060515106,0.0,1.0376856,0.5222539,0.0036968589,0.8240776,0.608743,0.17913526,0.5956604,0.14013785,0.24228865,0.060544312,0.6270015,0.20415372,0.36154073,0.4870717,0.14180446,0.5080118,0.67752504,0.6270015,0.060486734,0.5225512
PBSeT,0.6929903,1.3056219,0.056568623,0.7391635,0.5940534,0.9107864,0.9617479,0.6255001,1.3060267,0.5587728,0.5940534,0.87868255,0.849887,1.0376856,0.0,0.26521552,0.99074143,0.48004562,0.147326,0.78957176,0.24481708,1.3057544,0.533722,0.8435331,0.70012414,0.64617425,0.5587728,0.24988389,0.91298175,0.22783351,0.6186285,0.70012414,0.84398365,0.5289366
PET,0.45806396,0.9339346,0.10805273,0.30312926,0.12694818,0.44032562,0.5148457,0.18859142,0.9337619,0.13001966,0.12694818,0.3239252,0.31779534,0.5222539,0.26521552,0.0,0.4655667,0.25892365,0.03267908,0.28916764,0.029206872,0.93343264,0.08911008,0.313403,0.334773,0.15409076,0.13001966,0.012201726,0.41311097,0.009096682,0.2456277,0.334773,0.31374323,0.15901369
PHBVH,0.68219984,0.18779856,0.723319,0.22563398,0.1799599,0.1451912,0.13734943,0.3531136,0.1873396,0.3231581,0.1799599,0.10969746,0.034582973,0.0036968589,0.99074143,0.4655667,0.0,0.7848642,0.5550448,0.14812303,0.53298193,0.18716818,0.20179856,0.03460121,0.5909976,0.15656036,0.3231581,0.43624896,0.12118018,0.4547273,0.6267855,0.5909976,0.034556746,0.48215085
NR,0.47624028,1.0822344,0.37291622,0.47053134,0.47603977,0.90840274,0.6807991,0.32895744,1.0822073,0.2979042,0.47603977,0.64171374,0.6735389,0.8240776,0.48004562,0.25892365,0.7848642,0.0,0.32881594,0.6933477,0.2622878,1.0819991,0.4027474,0.669343,0.365582,0.5055164,0.2979042,0.302898,0.8535471,0.29922044,0.0849821,0.365582,0.66966295,0.28127033
PBAT,0.49172884,0.9872376,0.027571678,0.3533005,0.20005745,0.51417184,0.5704966,0.247643,0.98734176,0.24164867,0.20005745,0.4521265,0.41314417,0.608743,0.147326,0.03267908,0.5550448,0.32881594,0.0,0.371391,0.057264328,0.9870009,0.15359521,0.40717602,0.43201405,0.2396273,0.24164867,0.018275142,0.50021553,0.013756871,0.36195666,0.43201405,0.4076001,0.23952365
PEG,0.61534786,0.4965967,0.53777796,0.25219607,0.104765415,0.13623524,0.29261076,0.25909984,0.49613535,0.26161093,0.104765415,0.12819803,0.093010366,0.17913526,0.78957176,0.28916764,0.14812303,0.6933477,0.371391,0.0,0.34559482,0.49590176,0.12073898,0.09187901,0.5133207,0.09721476,0.26161093,0.27927518,0.1220516,0.29385406,0.52999926,0.5133207,0.09195572,0.37225938
PEF,0.60708123,1.0318452,0.11555737,0.42934543,0.161601,0.51480746,0.6422337,0.293508,1.0315294,0.14602917,0.161601,0.3544305,0.36348712,0.5956604,0.24481708,0.029206872,0.53298193,0.2622878,0.057264328,0.34559482,0.0,1.031196,0.1486907,0.36020124,0.41908658,0.18461496,0.14602917,0.05338347,0.4789816,0.040336847,0.24429369,0.41908658,0.36048597,0.24659294
PHV,0.7453995,1.5497208e-06,1.1081748,0.36633867,0.6440444,0.4138825,0.14114624,0.63066614,0.0,0.69247085,0.6440444,0.45374757,0.366889,0.14013785,1.3057544,0.93343264,0.18716818,1.0819991,0.9870009,0.49590176,1.031196,0.0,0.6033571,0.36690342,0.89951086,0.61514854,0.69247085,0.8684342,0.40377593,0.9007741,1.0292006,0.89951086,0.36678225,0.8374086
PES,0.49861914,0.6040226,0.28927654,0.14334702,0.041604638,0.20388669,0.26532984,0.104396164,0.60364044,0.12072146,0.041604638,0.12784821,0.114399195,0.24228865,0.533722,0.08911008,0.20179856,0.4027474,0.15359521,0.12073898,0.1486907,0.6033571,0.0,0.1117214,0.41772783,0.04829824,0.12072146,0.074842334,0.17448235,0.087414086,0.32328522,0.41772783,0.11191028,0.23449063
PHB,0.68466496,0.36773252,0.57590914,0.24704748,0.06696957,0.12613636,0.23270714,0.29755008,0.3671316,0.23441207,0.06696957,0.0612607,8.094311e-05,0.060544312,0.8435331,0.313403,0.03460121,0.669343,0.40717602,0.09187901,0.36020124,0.36690342,0.1117214,0.0,0.497549,0.04948014,0.23441207,0.3026902,0.09875846,0.31310177,0.48644882,0.497549,2.3841858e-07,0.37922305
Nylon,0.2980994,0.8997174,0.5313306,0.4597103,0.3769564,0.6273527,0.60010755,0.37940013,0.89972603,0.3698827,0.3769564,0.54713774,0.50129205,0.6270015,0.70012414,0.334773,0.5909976,0.365582,0.43201405,0.5133207,0.41908658,0.89951086,0.41772783,0.497549,0.0,0.3959139,0.3698827,0.39119542,0.6210849,0.39272445,0.32274038,0.0,0.4978432,0.051110625
P3HP,0.63048637,0.616038,0.39265347,0.2640612,0.0037350655,0.18448949,0.35393548,0.21866316,0.6154346,0.16876155,0.0037350655,0.09416723,0.050568223,0.20415372,0.64617425,0.15409076,0.15656036,0.5055164,0.2396273,0.09721476,0.18461496,0.61514854,0.04829824,0.04948014,0.3959139,0.0,0.16876155,0.16038066,0.15499657,0.1644271,0.34174573,0.3959139,0.04958403,0.2639169
PE,0.5288621,0.693343,0.37042713,0.3086608,0.1759314,0.36532265,0.41140473,0.273997,0.69271296,5.9604645e-08,0.1759314,0.15147388,0.23470932,0.36154073,0.5587728,0.13001966,0.3231581,0.2979042,0.24164867,0.26161093,0.14602917,0.69247085,0.12072146,0.23441207,0.3698827,0.16876155,0.0,0.15995675,0.31221962,0.15850097,0.2541561,0.3698827,0.23448968,0.21871579
PBSA,0.46006942,0.86881566,0.084787965,0.2572887,0.13008696,0.41288596,0.45551437,0.16716677,0.86876565,0.15995675,0.13008696,0.33064812,0.30778766,0.4870717,0.24988389,0.012201726,0.43624896,0.302898,0.018275142,0.27927518,0.05338347,0.8684342,0.074842334,0.3026902,0.39119542,0.16038066,0.15995675,0.0,0.39079285,0.00207752,0.30549997,0.39119542,0.30305445,0.1972115
PVA,0.70197785,0.40464377,0.6651118,0.29417676,0.18146539,0.005620718,0.27961534,0.34781796,0.403934,0.31221962,0.18146539,0.07240379,0.097302556,0.14180446,0.91298175,0.41311097,0.12118018,0.8535471,0.50021553,0.1220516,0.4789816,0.40377593,0.17448235,0.09875846,0.6210849,0.15499657,0.31221962,0.39079285,0.0,0.40704268,0.6932781,0.6210849,0.09865916,0.4903239
PBS,0.48597068,0.9011946,0.07436013,0.2927462,0.13466793,0.43012327,0.49327582,0.19620353,0.9011084,0.15850097,0.13466793,0.33774644,0.3179719,0.5080118,0.22783351,0.009096682,0.4547273,0.29922044,0.013756871,0.29385406,0.040336847,0.9007741,0.087414086,0.31310177,0.39272445,0.1644271,0.15850097,0.00207752,0.40704268,0.0,0.29930043,0.39272445,0.31345838,0.2020008
PS,0.5997473,1.0298328,0.4616254,0.48947108,0.32887673,0.7518228,0.67505443,0.33704913,1.0294261,0.2541561,0.32887673,0.46474898,0.48838186,0.67752504,0.6186285,0.2456277,0.6267855,0.0849821,0.36195666,0.52999926,0.24429369,1.0292006,0.32328522,0.48644882,0.32274038,0.34174573,0.2541561,0.30549997,0.6932781,0.29930043,0.0,0.32274038,0.48664308,0.2666192
PA,0.2980994,0.8997174,0.5313306,0.4597103,0.3769564,0.6273527,0.60010755,0.37940013,0.89972603,0.3698827,0.3769564,0.54713774,0.50129205,0.6270015,0.70012414,0.334773,0.5909976,0.365582,0.43201405,0.5133207,0.41908658,0.89951086,0.41772783,0.497549,0.0,0.3959139,0.3698827,0.39119542,0.6210849,0.39272445,0.32274038,0.0,0.4978432,0.051110625
