,Impranil,P(3HB-co-3MP),ECOFLEX,PCL,PLA,O-PVA,PMCL,PHO,PHBH,LDPE,PPL,PEA,P4HB,PHBV,PBSeT,PET,PHBVH,NR,PBAT,PEG,PEF,PHV,PES,PHB,Nylon,P3HP,PE,PBSA,PVA,PBS,PS,PA,PHPV,PU
Impranil,0.0,8.036418,6.8064322,8.223091,8.042658,13.297995,8.146231,9.155973,8.031004,14.027992,8.042658,14.03424,7.9030232,8.029444,8.6299715,8.912986,8.034482,10.8931675,7.5947223,8.867895,8.955114,8.147919,10.676244,7.896632,8.540479,7.6150446,14.027992,7.901762,9.302937,7.8796444,13.049058,8.540479,7.9437194,7.8862424
P(3HB-co-3MP),8.036418,0.0,3.0482943,2.3501136,2.9974234,9.694613,2.1690695,2.6849637,0.66760814,9.255419,2.9974234,12.260728,1.9662799,0.8772505,3.763484,4.175977,1.0123959,6.795246,2.8201613,4.513636,7.6434846,0.6927704,7.751449,1.2577617,4.3580556,2.4960625,9.255419,2.5543532,3.9775078,2.5875375,9.484555,4.3580556,1.3868381,4.153408
ECOFLEX,6.8064322,3.0482943,0.0,3.231286,4.3529253,10.31205,3.1718655,3.985093,3.1538997,9.941777,4.3529253,12.587302,3.3472123,3.3240654,3.8286157,4.0913563,3.4055288,6.9290204,1.7745551,4.911641,7.185782,3.149713,7.4135737,3.4674644,4.981812,3.800282,9.941777,3.2827241,5.404308,3.3567386,9.664721,4.981812,3.3971474,3.7896247
PCL,8.223091,2.3501136,3.231286,0.0,3.7813065,9.3400955,0.34828317,2.5354886,2.1182172,8.927144,3.7813065,11.398493,1.7268536,2.5056152,2.21287,2.8850224,2.7288215,6.0951524,2.0234988,4.002166,7.835418,2.0226958,6.741867,2.7206604,2.9923742,3.278721,8.927144,1.2411094,4.155773,1.3847443,8.506369,2.9923742,2.7235572,3.1774378
PLA,8.042658,2.9974234,4.3529253,3.7813065,0.0,9.636826,3.5274944,4.754598,2.8126307,10.678531,0.0,12.575564,2.5684135,2.6244378,4.421266,4.755504,2.635043,8.00362,4.2248373,5.612493,6.6661224,2.8920848,8.039364,2.200124,4.998827,2.1821232,10.678531,3.445141,5.0062056,3.3587215,10.179693,4.998827,2.519823,5.039663
O-PVA,13.297995,9.694613,10.31205,9.3400955,9.636826,0.0,9.31875,9.3831215,9.646333,13.057055,9.636826,12.489413,9.428662,9.766709,9.272888,9.470523,9.8793335,11.879781,9.543736,9.321704,9.979391,9.563521,9.653639,9.794591,9.500011,9.92984,13.057055,9.199828,8.063113,9.17781,11.501464,9.500011,9.980074,9.190057
PMCL,8.146231,2.1690695,3.1718655,0.34828317,3.5274944,9.31875,0.0,2.6295629,1.9028301,9.051642,3.5274944,11.506195,1.4326507,2.2672222,2.2673633,2.9332237,2.4910128,6.2608557,2.051262,4.047561,7.658561,1.8151711,6.853776,2.4561086,3.0893512,3.0116398,9.051642,1.0595105,4.139449,1.1853733,8.669768,3.0893512,2.4715617,3.2638862
PHO,9.155973,2.6849637,3.985093,2.5354886,4.754598,9.3831215,2.6295629,0.0,2.777322,7.814622,4.754598,11.538893,3.2766092,3.1409044,3.5817058,3.810042,3.3149252,5.333931,3.0500112,4.3679066,8.88205,2.633666,7.303886,3.5410197,3.915863,4.328696,7.814622,3.212782,4.0054307,3.2966795,8.125392,3.915863,3.5204039,4.0517716
PHBH,8.031004,0.66760814,3.1538997,2.1182172,2.8126307,9.646333,1.9028301,2.777322,0.0,9.262313,2.8126307,12.266483,1.5285894,0.5034935,3.6435852,4.120419,0.7276079,6.8475313,2.8166842,4.449556,7.6494613,0.28458378,7.7245727,0.93106157,4.193208,2.1707869,9.262313,2.2682009,4.085695,2.2958784,9.512946,4.193208,1.0348319,4.095414
LDPE,14.027992,9.255419,9.941777,8.927144,10.678531,13.057055,9.051642,7.814622,9.262313,0.0,10.678531,13.193934,9.454938,9.409802,9.253944,9.197425,9.472644,5.8128805,9.072419,7.9505606,13.852196,9.157045,11.541602,9.754924,9.06204,10.173551,0.0,9.336283,9.155523,9.401463,8.665411,9.06204,9.502172,9.67076
PPL,8.042658,2.9974234,4.3529253,3.7813065,0.0,9.636826,3.5274944,4.754598,2.8126307,10.678531,0.0,12.575564,2.5684135,2.6244378,4.421266,4.755504,2.635043,8.00362,4.2248373,5.612493,6.6661224,2.8920848,8.039364,2.200124,4.998827,2.1821232,10.678531,3.445141,5.0062056,3.3587215,10.179693,4.998827,2.519823,5.039663
PEA,14.03424,12.260728,12.587302,11.398493,12.575564,12.489413,11.506195,11.538893,12.266483,13.193934,12.575564,0.0,11.86447,12.496258,11.177673,11.204606,12.610071,10.828967,11.751711,10.102668,14.934185,12.281115,11.084902,12.5406,9.036504,12.448885,13.193934,11.629019,10.239843,11.626777,10.051713,9.036504,12.574545,10.799538
P4HB,7.9030232,1.9662799,3.3472123,1.7268536,2.5684135,9.428662,1.4326507,3.2766092,1.5285894,9.454938,2.5684135,11.86447,0.0,1.6127539,3.0472193,3.6283689,1.7684528,6.915017,2.660857,4.14807,7.2519984,1.541057,7.561413,1.5470855,3.630709,1.6755974,9.454938,1.4086682,4.3506956,1.3659089,9.417886,3.630709,1.5180645,3.875558
PHBV,8.029444,0.8772505,3.3240654,2.5056152,2.6244378,9.766709,2.2672222,3.1409044,0.5034935,9.409802,2.6244378,12.496258,1.6127539,0.0,3.9437025,4.415309,0.26879072,7.12704,3.1145296,4.617147,7.5204268,0.6355284,8.011067,0.551329,4.4862676,1.9076768,9.409802,2.5004148,4.2818317,2.5024974,9.812894,4.4862676,0.6638945,4.388345
PBSeT,8.6299715,3.763484,3.8286157,2.21287,4.421266,9.272888,2.2673633,3.5817058,3.6435852,9.253944,4.421266,11.177673,3.0472193,3.9437025,0.0,1.1406153,4.127635,6.1658506,2.629031,4.7152057,7.5251646,3.5748332,6.0184503,4.058456,3.209738,4.3748064,9.253944,2.2166557,4.907489,2.2915998,7.9492855,3.209738,4.1021695,3.0452797
PET,8.912986,4.175977,4.0913563,2.8850224,4.755504,9.470523,2.9332237,3.810042,4.120419,9.197425,4.755504,11.204606,3.6283689,4.415309,1.1406153,0.0,4.5936346,5.9181046,3.0432086,5.1349196,7.7259655,4.0476213,6.0653276,4.5202413,3.6388786,4.837035,9.197425,2.9291646,5.2833853,2.9832377,7.476681,3.6388786,4.587847,3.3266838
PHBVH,8.034482,1.0123959,3.4055288,2.7288215,2.635043,9.8793335,2.4910128,3.3149252,0.7276079,9.472644,2.635043,12.610071,1.7684528,0.26879072,4.127635,4.5936346,0.0,7.258129,3.2754586,4.683832,7.5366917,0.87749183,8.14938,0.5504643,4.6538725,1.8586825,9.472644,2.6976616,4.3963876,2.6958392,9.985043,4.6538725,0.56790364,4.526819
NR,10.8931675,6.795246,6.9290204,6.0951524,8.00362,11.879781,6.2608557,5.333931,6.8475313,5.8128805,8.00362,10.828967,6.915017,7.12704,6.1658506,5.9181046,7.258129,0.0,6.0937066,6.3906684,11.454182,6.7718797,8.222407,7.38675,5.828995,7.851251,5.8128805,6.5900364,7.0128994,6.659508,5.1226606,5.828995,7.307189,6.5887976
PBAT,7.5947223,2.8201613,1.7745551,2.0234988,4.2248373,9.543736,2.051262,3.0500112,2.8166842,9.072419,4.2248373,11.751711,2.660857,3.1145296,2.629031,3.0432086,3.2754586,6.0937066,0.0,4.1326127,7.29236,2.7381399,6.882214,3.3201292,3.834624,3.7162051,9.072419,2.2147043,4.628917,2.3328424,8.748549,3.834624,3.240963,3.0958655
PEG,8.867895,4.513636,4.911641,4.002166,5.612493,9.321704,4.047561,4.3679066,4.449556,7.9505606,5.612493,10.102668,4.14807,4.617147,4.7152057,5.1349196,4.683832,6.3906684,4.1326127,0.0,9.197353,4.452114,7.8691673,4.794918,4.4209495,4.633751,7.9505606,4.306991,4.1394653,4.3496695,9.142168,4.4209495,4.5492706,5.045811
PEF,8.955114,7.6434846,7.185782,7.835418,6.6661224,9.979391,7.658561,8.88205,7.6494613,13.852196,6.6661224,14.934185,7.2519984,7.5204268,7.5251646,7.7259655,7.5366917,11.454182,7.29236,9.197353,0.0,7.631909,10.16335,7.2909503,8.8317375,7.1399946,13.852196,7.1336503,8.66192,7.0534673,12.886928,8.8317375,7.4559307,8.043285
PHV,8.147919,0.6927704,3.149713,2.0226958,2.8920848,9.563521,1.8151711,2.633666,0.28458378,9.157045,2.8920848,12.281115,1.541057,0.6355284,3.5748332,4.0476213,0.87749183,6.7718797,2.7381399,4.452114,7.631909,0.0,7.6838937,1.0694607,4.184684,2.292159,9.157045,2.1976697,4.058704,2.2305,9.41769,4.184684,1.1632557,4.076739
PES,10.676244,7.751449,7.4135737,6.741867,8.039364,9.653639,6.853776,7.303886,7.7245727,11.541602,8.039364,11.084902,7.561413,8.011067,6.0184503,6.0653276,8.14938,8.222407,6.882214,7.8691673,10.16335,7.6838937,0.0,8.115706,6.72006,8.43949,11.541602,7.032763,7.77189,7.08039,8.13887,6.72006,8.247413,6.084768
PHB,7.896632,1.2577617,3.4674644,2.7206604,2.200124,9.794591,2.4561086,3.5410197,0.93106157,9.754924,2.200124,12.5406,1.5470855,0.551329,4.058456,4.5202413,0.5504643,7.38675,3.3201292,4.794918,7.2909503,1.0694607,8.115706,0.0,4.578508,1.5380751,9.754924,2.5670536,4.4343133,2.5381312,9.984054,4.578508,0.60577345,4.5310125
Nylon,8.540479,4.3580556,4.981812,2.9923742,4.998827,9.500011,3.0893512,3.915863,4.193208,9.06204,4.998827,9.036504,3.630709,4.4862676,3.209738,3.6388786,4.6538725,5.828995,3.834624,4.4209495,8.8317375,4.184684,6.72006,4.578508,0.0,4.7703223,9.06204,3.262748,4.424299,3.293962,7.577747,0.0,4.5934176,3.368292
