,x,y
Impranil,1.1011263,-6.5996017
P(3HB-co-3MP),1.5237222,-7.1971645
ECOFLEX,1.5381247,-7.1038375
PCL,1.5751504,-7.490522
PLA,1.1688809,-7.2496862
O-PVA,0.75920665,-8.057304
PMCL,1.5322263,-7.4608665
PHO,1.7994115,-7.402857
PHBH,1.5052887,-7.2113643
LDPE,2.576721,-7.4678774
PPL,1.1688809,-7.2496862
PEA,2.05308,-8.486998
P4HB,1.4086609,-7.32887
PHBV,1.4689785,-7.165461
PBSeT,1.538564,-7.6651998
PET,1.6024562,-7.7057037
PHBVH,1.465462,-7.1389856
NR,2.268799,-7.6631384
PBAT,1.5924945,-7.4074764
PEG,1.8795304,-7.3819194
PEF,0.67724943,-7.194415
PHV,1.5167139,-7.2235756
PES,1.4532247,-8.17491
PHB,1.3860742,-7.1713
Nylon,1.6880307,-7.7433105
P3HP,1.3137312,-7.1449394
PE,2.576721,-7.4678774
PBSA,1.4315077,-7.469192
PVA,1.3655517,-7.7209325
PBS,1.4067427,-7.4577456
PS,2.3102798,-8.013121
PA,1.6880307,-7.7433105
PHPV,1.4582304,-7.1347694
PU,1.5083667,-7.72377
