Name,SMILES
PHB,[H]OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)OC(C)CC(=O)O
PCL,[H]OCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)OCCCCCC(=O)O
PLA,[H]OC(C)C(=O)OC(C)C(=O)OC(C)C(=O)OC(C)C(=O)OC(C)C(=O)OC(C)C(=O)OC(C)C(=O)OC(C)C(=O)O
PBAT,[H]OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)c1ccc(C(=O)OCCCCOC(=O)CCCCC(=O)OCCCCOC(=O)c2ccc(C(=O)O)cc2)cc1
PBSA,[H]OCCCCOC(=O)CCC(=O)OCCCCOC(=O)CCCCCOCCCCOC(=O)CCC(=O)OCCCCOC(=O)CCCCCO
PES,[H]c1ccc(S(=O)(=O)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(Oc5ccc(S(=O)(=O)c6ccc(OO)cc6)cc5)cc4)cc3)cc2)cc1
PBS,[H]C(=O)CCC(=O)OCCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)OCCCCOC(=O)CCC(=O)OCCCCOO
PHBV,[H]C(=O)CC(C)OC(=O)CC(CC)C(=O)CC(C)OC(=O)CC(CC)C(=O)CC(C)OC(=O)CC(CC)C(=O)CC(C)OC(=O)CC(O)CC
PVA,[H]CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)CC(O)O
NR,[H]CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCO
PE,[H]CCCCCCCCCCCCCCCCCCCCCCCCCCCCO
P4HB,[H]OCCCC(=O)OCCCC(=O)OCCCC(=O)OCCCC(=O)OCCCC(=O)OCCCC(=O)OCCCC(=O)O
P3HP,[H]OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)OCCC(=O)O
PHO,[H]OC(CCCCC)CC(=O)OC(CCCCC)CC(=O)OC(CCCCC)CC(=O)OC(CCCCC)CC(=O)OC(CCCCC)CC(=O)O
LDPE,[H]CCCCCCCCCCCCCCCCCCCCCCCCCCCCO
PEG,[H]OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
