epoch,split,where,space,N,D,norm_mean,std_mean,cos_mu,cos_std,energy_top1
1,train,protein,raw,10,128,0.879903,0.018314,0.947684,0.026882,0.398381
1,train,plastic,raw,10,128,1.055157,0.033339,0.864430,0.044167,0.265166
1,train,protein,raw,10,128,0.865069,0.017431,0.948479,0.016631,0.354693
1,train,plastic,raw,10,128,1.024386,0.035238,0.841136,0.034420,0.206592
1,val,protein,raw,10,128,0.902380,0.015957,0.958859,0.024815,0.457163
1,val,plastic,raw,10,128,1.084516,0.009832,0.987630,0.011902,0.693386
1,val,protein,raw,10,128,0.855031,0.017003,0.950298,0.032498,0.503057
1,val,plastic,raw,10,128,1.073358,0.012635,0.979192,0.014996,0.583092
2,train,protein,raw,10,128,0.879023,0.017149,0.952873,0.017752,0.448585
2,train,plastic,raw,10,128,1.066382,0.035059,0.855582,0.035453,0.250339
2,train,protein,raw,10,128,0.897285,0.015791,0.960210,0.011273,0.277962
2,train,plastic,raw,10,128,1.056483,0.039050,0.815925,0.057608,0.243052
2,val,protein,raw,10,128,0.886389,0.016064,0.955593,0.027147,0.452650
2,val,plastic,raw,10,128,1.058619,0.021830,0.922583,0.094590,0.948023
2,val,protein,raw,10,128,0.848856,0.017145,0.946145,0.036182,0.516686
2,val,plastic,raw,10,128,1.048713,0.023331,0.918242,0.085776,0.863208
3,train,protein,raw,10,128,0.859503,0.019183,0.934552,0.031164,0.425482
3,train,plastic,raw,10,128,1.050006,0.043767,0.766027,0.092496,0.325660
3,train,protein,raw,10,128,0.877811,0.019016,0.936754,0.036712,0.465489
3,train,plastic,raw,10,128,1.048655,0.046207,0.734983,0.075820,0.248645
3,val,protein,raw,10,128,0.858208,0.016919,0.946724,0.033835,0.426341
3,val,plastic,raw,10,128,1.237294,0.041088,0.802779,0.330951,0.913179
3,val,protein,raw,10,128,0.835349,0.018260,0.933537,0.047946,0.587393
3,val,plastic,raw,10,128,1.246914,0.046899,0.741626,0.342785,0.933616
4,train,protein,raw,10,128,0.818130,0.017796,0.935611,0.032108,0.427946
4,train,plastic,raw,10,128,1.189105,0.046623,0.788502,0.081958,0.248362
4,train,protein,raw,10,128,0.845871,0.018085,0.936233,0.032765,0.520752
4,train,plastic,raw,10,128,1.190445,0.058736,0.632375,0.279216,0.601686
4,val,protein,raw,10,128,0.874389,0.017819,0.942675,0.038025,0.474959
4,val,plastic,raw,10,128,1.536560,0.059802,0.711331,0.522241,0.914817
4,val,protein,raw,10,128,0.855332,0.019441,0.926408,0.056116,0.643239
4,val,plastic,raw,10,128,1.558727,0.032670,0.930018,0.074587,0.747156
5,train,protein,raw,10,128,0.834408,0.018615,0.934396,0.034836,0.564293
5,train,plastic,raw,10,128,1.314054,0.072043,0.546407,0.319841,0.644057
5,train,protein,raw,10,128,0.899229,0.027071,0.899007,0.085982,0.665728
5,train,plastic,raw,10,128,1.320368,0.063835,0.653451,0.197987,0.513417
5,val,protein,raw,10,128,0.871417,0.018091,0.940020,0.040587,0.477628
5,val,plastic,raw,10,128,1.265005,0.070333,0.563190,0.471519,0.902468
5,val,protein,raw,10,128,0.860896,0.019836,0.923363,0.059305,0.655828
5,val,plastic,raw,10,128,1.295354,0.078954,0.451675,0.545665,0.912923
6,train,protein,raw,10,128,0.855579,0.020733,0.921997,0.043075,0.499157
6,train,plastic,raw,10,128,1.247306,0.078911,0.417581,0.421816,0.756910
6,train,protein,raw,10,128,0.856550,0.021850,0.912170,0.053099,0.594860
6,train,plastic,raw,10,128,1.144800,0.068935,0.517845,0.290249,0.633705
6,val,protein,raw,10,128,0.869251,0.018636,0.936368,0.043824,0.489551
6,val,plastic,raw,10,128,1.667532,0.038617,0.920292,0.072952,0.666884
6,val,protein,raw,10,128,0.862813,0.020440,0.918646,0.064190,0.676592
6,val,plastic,raw,10,128,1.597476,0.038922,0.906795,0.106620,0.852193
7,train,protein,raw,10,128,0.861794,0.022316,0.907161,0.064701,0.705714
7,train,plastic,raw,10,128,1.489025,0.060142,0.772470,0.157876,0.518877
7,train,protein,raw,10,128,0.826260,0.015376,0.951090,0.033158,0.445060
7,train,plastic,raw,10,128,1.507819,0.076576,0.588195,0.399158,0.733719
7,val,protein,raw,10,128,0.849702,0.018676,0.932829,0.046516,0.471039
7,val,plastic,raw,10,128,1.317136,0.074573,0.541392,0.403314,0.863487
7,val,protein,raw,10,128,0.845636,0.020397,0.915433,0.066095,0.672420
7,val,plastic,raw,10,128,1.325873,0.069978,0.580421,0.370283,0.892560
8,train,protein,raw,10,128,0.821785,0.019007,0.928355,0.030194,0.411466
8,train,plastic,raw,10,128,1.340356,0.076515,0.528792,0.363578,0.707164
8,train,protein,raw,10,128,0.849063,0.020023,0.927416,0.034619,0.436725
8,train,plastic,raw,10,128,1.355540,0.086336,0.419401,0.443990,0.794680
8,val,protein,raw,10,128,0.848835,0.018893,0.931928,0.047176,0.476195
8,val,plastic,raw,10,128,1.356668,0.065615,0.653583,0.254830,0.776754
8,val,protein,raw,10,128,0.846264,0.020543,0.914984,0.066694,0.677042
8,val,plastic,raw,10,128,1.342258,0.082048,0.506675,0.409446,0.723782
9,train,protein,raw,10,128,0.835376,0.021774,0.907686,0.050879,0.596567
9,train,plastic,raw,10,128,1.285636,0.076094,0.497050,0.267100,0.609887
9,train,protein,raw,10,128,0.816395,0.014946,0.952996,0.034725,0.469738
9,train,plastic,raw,10,128,1.254011,0.062405,0.654905,0.185361,0.457522
9,val,protein,raw,10,128,0.838238,0.019280,0.926865,0.050408,0.461312
9,val,plastic,raw,10,128,1.502555,0.080389,0.574815,0.318822,0.737576
9,val,protein,raw,10,128,0.834913,0.020673,0.911228,0.069931,0.680093
9,val,plastic,raw,10,128,1.559990,0.107081,0.328386,0.532258,0.807188
10,train,protein,raw,10,128,0.807295,0.016902,0.937481,0.041926,0.666095
10,train,plastic,raw,10,128,1.452553,0.103062,0.299073,0.412957,0.695993
10,train,protein,raw,10,128,0.813056,0.017529,0.933966,0.040849,0.568272
10,train,plastic,raw,10,128,1.418645,0.097033,0.347982,0.382136,0.674077
10,val,protein,raw,10,128,0.830094,0.019436,0.923621,0.052538,0.446566
10,val,plastic,raw,10,128,1.557218,0.072864,0.656327,0.287394,0.776135
10,val,protein,raw,10,128,0.825292,0.020595,0.909564,0.071075,0.676016
10,val,plastic,raw,10,128,1.519474,0.095606,0.455831,0.472329,0.737037
11,train,protein,raw,10,128,0.838148,0.024167,0.889081,0.054364,0.495384
11,train,plastic,raw,10,128,1.344254,0.071514,0.635389,0.219986,0.640452
11,train,protein,raw,10,128,0.817961,0.020242,0.920616,0.030570,0.323794
11,train,plastic,raw,10,128,1.384942,0.081257,0.508493,0.266052,0.573514
11,val,protein,raw,10,128,0.799091,0.019723,0.915988,0.057894,0.458788
11,val,plastic,raw,10,128,1.429704,0.076937,0.553445,0.365823,0.749023
11,val,protein,raw,10,128,0.800264,0.020798,0.902472,0.077061,0.681149
11,val,plastic,raw,10,128,1.414055,0.083711,0.509634,0.375133,0.597648
12,train,protein,raw,10,128,0.786603,0.019879,0.913324,0.054241,0.575764
12,train,plastic,raw,10,128,1.454661,0.102110,0.334319,0.418929,0.580714
12,train,protein,raw,10,128,0.802923,0.019360,0.924111,0.038782,0.460830
12,train,plastic,raw,10,128,1.425585,0.101255,0.302132,0.444730,0.635149
12,val,protein,raw,10,128,0.789964,0.019804,0.912911,0.060034,0.460592
12,val,plastic,raw,10,128,1.544797,0.083711,0.554276,0.339719,0.665753
12,val,protein,raw,10,128,0.790368,0.020822,0.899662,0.079311,0.680257
12,val,plastic,raw,10,128,1.470239,0.092545,0.435672,0.366800,0.665314
13,train,protein,raw,10,128,0.766395,0.020613,0.904868,0.045021,0.416556
13,train,plastic,raw,10,128,1.407497,0.095071,0.360373,0.411643,0.614550
13,train,protein,raw,10,128,0.771851,0.020159,0.908744,0.057365,0.544491
13,train,plastic,raw,10,128,1.408605,0.100435,0.341512,0.416403,0.624759
13,val,protein,raw,10,128,0.793577,0.019930,0.912193,0.060892,0.470931
13,val,plastic,raw,10,128,1.668489,0.091541,0.525385,0.347071,0.768537
13,val,protein,raw,10,128,0.796569,0.020834,0.900659,0.078329,0.678017
13,val,plastic,raw,10,128,1.635634,0.111158,0.346971,0.494244,0.535493
14,train,protein,raw,10,128,0.778478,0.021358,0.896915,0.047464,0.488132
14,train,plastic,raw,10,128,1.568651,0.084512,0.571177,0.283843,0.640023
14,train,protein,raw,10,128,0.765300,0.020589,0.903526,0.051474,0.531045
14,train,plastic,raw,10,128,1.565906,0.101935,0.415926,0.500965,0.562595
14,val,protein,raw,10,128,0.789232,0.020119,0.908863,0.063181,0.473110
14,val,plastic,raw,10,128,1.701177,0.105230,0.450961,0.524549,0.643832
14,val,protein,raw,10,128,0.787745,0.020869,0.897829,0.080560,0.677232
14,val,plastic,raw,10,128,1.676853,0.114584,0.348617,0.531618,0.565464
15,train,protein,raw,10,128,0.768709,0.019871,0.903529,0.081486,0.677178
15,train,plastic,raw,10,128,1.617369,0.104028,0.415122,0.513060,0.533987
15,train,protein,raw,10,128,0.754705,0.021161,0.892764,0.046207,0.396795
