epoch,split,where,space,N,D,norm_mean,std_mean,cos_mu,cos_std,energy_top1
1,train,protein,raw,10,128,0.912878,0.017046,0.954586,0.021024,0.515370
1,train,plastic,raw,31,128,1.045441,0.033301,0.867705,0.042012,0.133415
1,train,protein,raw,10,128,0.919928,0.016774,0.958128,0.019680,0.456287
1,train,plastic,raw,31,128,1.073978,0.033450,0.873564,0.039301,0.137795
1,val,protein,raw,10,128,0.977514,0.018019,0.951947,0.029117,0.554587
1,val,plastic,raw,31,128,1.433311,0.003881,0.998929,0.000965,0.445016
1,val,protein,raw,10,128,0.899673,0.016834,0.958901,0.028081,0.466103
1,val,plastic,raw,31,128,1.433299,0.003843,0.998953,0.000958,0.434786
2,train,protein,raw,10,128,0.916085,0.016953,0.958673,0.013943,0.316748
2,train,plastic,raw,31,128,1.402010,0.024626,0.959488,0.015537,0.145732
2,train,protein,raw,10,128,0.933937,0.019042,0.947306,0.020386,0.438246
2,train,plastic,raw,31,128,1.399508,0.026792,0.951612,0.015846,0.134105
2,val,protein,raw,10,128,0.995762,0.018061,0.953654,0.028093,0.551578
2,val,plastic,raw,31,128,1.535833,0.003720,0.999109,0.000889,0.568157
2,val,protein,raw,10,128,0.916281,0.016915,0.960018,0.027305,0.469008
2,val,plastic,raw,31,128,1.535727,0.003850,0.999049,0.000943,0.591870
3,train,protein,raw,10,128,0.930367,0.017065,0.957230,0.025828,0.550822
3,train,plastic,raw,31,128,1.500850,0.023434,0.967832,0.016501,0.187232
3,train,protein,raw,10,128,0.947813,0.017892,0.951692,0.026175,0.578682
3,train,plastic,raw,31,128,1.504925,0.022921,0.969279,0.013855,0.193553
3,val,protein,raw,10,128,1.003893,0.018120,0.954145,0.027796,0.548953
3,val,plastic,raw,31,128,1.573651,0.004785,0.998564,0.001526,0.645141
3,val,protein,raw,10,128,0.924202,0.017006,0.960148,0.027208,0.471031
3,val,plastic,raw,31,128,1.573801,0.004862,0.998489,0.001681,0.703574
4,train,protein,raw,10,128,0.981918,0.024657,0.924231,0.064455,0.545654
4,train,plastic,raw,31,128,1.529099,0.024169,0.966879,0.019105,0.203972
4,train,protein,raw,10,128,0.926984,0.017894,0.953758,0.022367,0.304420
4,train,plastic,raw,31,128,1.540549,0.022309,0.972351,0.009013,0.171358
4,val,protein,raw,10,128,1.000445,0.018242,0.952975,0.028574,0.545093
4,val,plastic,raw,31,128,1.582406,0.006172,0.997496,0.003016,0.749444
4,val,protein,raw,10,128,0.923433,0.017209,0.958741,0.028171,0.475502
4,val,plastic,raw,31,128,1.581720,0.006890,0.996886,0.003653,0.754346
5,train,protein,raw,10,128,0.961767,0.016976,0.959374,0.022802,0.481113
5,train,plastic,raw,31,128,1.546865,0.023114,0.970686,0.011880,0.183262
5,train,protein,raw,10,128,0.926387,0.017350,0.953807,0.036490,0.538194
5,train,plastic,raw,31,128,1.550730,0.024162,0.968108,0.012113,0.145247
5,val,protein,raw,10,128,0.975548,0.018574,0.948526,0.031580,0.541566
