epoch,split,where,space,N,D,norm_mean,std_mean,cos_mu,cos_std,energy_top1
1,train,protein,raw,10,128,0.912878,0.017046,0.954586,0.021024,0.515370
1,train,plastic,raw,31,128,1.045441,0.033301,0.867705,0.042012,0.133415
1,train,protein,raw,10,128,0.915748,0.016790,0.957409,0.020075,0.457269
1,train,plastic,raw,31,128,1.029368,0.033807,0.858313,0.053644,0.152655
1,val,protein,raw,10,128,0.968254,0.018057,0.950746,0.029881,0.559152
1,val,plastic,raw,31,128,1.006232,0.010389,0.982276,0.019978,0.802286
1,val,protein,raw,10,128,0.885959,0.016849,0.957624,0.028971,0.458464
1,val,plastic,raw,31,128,1.006169,0.010264,0.982770,0.019723,0.796818
2,train,protein,raw,10,128,0.917366,0.018522,0.948071,0.025979,0.384883
2,train,plastic,raw,31,128,0.994606,0.034702,0.840549,0.048710,0.126673
2,train,protein,raw,10,128,0.880532,0.017797,0.952824,0.015739,0.469251
2,train,plastic,raw,31,128,0.989347,0.035723,0.828381,0.058283,0.158350
2,val,protein,raw,10,128,0.963997,0.018320,0.948905,0.031070,0.561806
2,val,plastic,raw,31,128,0.821865,0.023922,0.866438,0.164672,0.809677
2,val,protein,raw,10,128,0.876098,0.017130,0.955210,0.030447,0.469633
2,val,plastic,raw,31,128,0.818615,0.023538,0.869712,0.162173,0.806691
3,train,protein,raw,10,128,0.878604,0.016736,0.954878,0.027260,0.501063
3,train,plastic,raw,31,128,0.857279,0.049056,0.565970,0.156963,0.258814
3,train,protein,raw,10,128,0.900420,0.019647,0.944802,0.018345,0.469280
3,train,plastic,raw,31,128,0.876098,0.046580,0.630355,0.145460,0.272527
3,val,protein,raw,10,128,0.898781,0.019215,0.935949,0.039671,0.556580
3,val,plastic,raw,31,128,1.207986,0.029720,0.892632,0.194056,0.857694
3,val,protein,raw,10,128,0.803351,0.018149,0.939907,0.040802,0.517242
3,val,plastic,raw,31,128,1.208934,0.029814,0.891928,0.195068,0.859349
4,train,protein,raw,10,128,0.815898,0.018294,0.934933,0.031238,0.480419
4,train,plastic,raw,31,128,1.154369,0.048321,0.751297,0.203879,0.422911
4,train,protein,raw,10,128,0.810102,0.016851,0.943423,0.019621,0.325598
4,train,plastic,raw,31,128,1.121826,0.044438,0.788222,0.110254,0.307770
4,val,protein,raw,10,128,0.759743,0.020205,0.899626,0.065279,0.557916
4,val,plastic,raw,31,128,1.275132,0.032183,0.877580,0.290547,0.871097
4,val,protein,raw,10,128,0.662867,0.019307,0.897893,0.069915,0.574144
4,val,plastic,raw,31,128,1.276832,0.032535,0.875521,0.292062,0.864270
5,train,protein,raw,10,128,0.687921,0.018876,0.904177,0.030406,0.328796
5,train,plastic,raw,31,128,1.249158,0.044641,0.798187,0.289781,0.519507
5,train,protein,raw,10,128,0.669018,0.015683,0.926231,0.028101,0.389119
5,train,plastic,raw,31,128,1.241307,0.043966,0.823295,0.146838,0.359754
5,val,protein,raw,10,128,0.611533,0.020585,0.831409,0.113424,0.554107
