epoch,split,where,space,N,D,norm_mean,std_mean,cos_mu,cos_std,energy_top1
1,train,protein,raw,10,128,0.991254,0.019944,0.951412,0.015968,0.376223
1,train,plastic,raw,10,128,1.042533,0.034059,0.854132,0.040200,0.262811
1,train,protein,raw,10,128,0.948275,0.015606,0.964845,0.015191,0.330486
1,train,plastic,raw,10,128,1.001435,0.032885,0.852452,0.045884,0.231856
1,val,protein,raw,10,128,1.039550,0.015607,0.968674,0.018868,0.553691
1,val,plastic,raw,10,128,0.634626,0.017673,0.886506,0.129534,0.823904
1,val,protein,raw,10,128,0.974722,0.017672,0.960945,0.028044,0.445832
1,val,plastic,raw,10,128,0.650570,0.027733,0.742889,0.217224,0.675005
2,train,protein,raw,10,128,1.023909,0.021806,0.942979,0.022234,0.370688
2,train,plastic,raw,10,128,0.785193,0.058502,0.248658,0.156199,0.251846
2,train,protein,raw,10,128,0.992981,0.017961,0.955587,0.021499,0.405296
2,train,plastic,raw,10,128,0.804827,0.059428,0.273319,0.176944,0.229905
2,val,protein,raw,10,128,1.491151,0.016267,0.984632,0.009282,0.526905
2,val,plastic,raw,10,128,1.474330,0.091805,0.293509,0.741094,0.936101
2,val,protein,raw,10,128,1.404911,0.019295,0.980559,0.014151,0.516362
2,val,plastic,raw,10,128,1.414217,0.055476,0.716011,0.335500,0.926335
3,train,protein,raw,10,128,1.456658,0.020865,0.977927,0.009568,0.487155
3,train,plastic,raw,10,128,1.246833,0.097106,0.089206,0.500960,0.652150
3,train,protein,raw,10,128,1.514652,0.022153,0.980721,0.007942,0.570740
3,train,plastic,raw,10,128,1.293126,0.091006,0.293372,0.595947,0.676232
3,val,protein,raw,10,128,2.545596,0.018413,0.994710,0.003201,0.484468
3,val,plastic,raw,10,128,2.571035,0.055944,0.903114,0.191789,0.984510
3,val,protein,raw,10,128,2.411645,0.024562,0.993287,0.004917,0.691184
3,val,plastic,raw,10,128,2.529743,0.064974,0.849458,0.296111,0.974315
4,train,protein,raw,10,128,2.449539,0.024770,0.992675,0.003835,0.656727
4,train,plastic,raw,10,128,2.597042,0.030632,0.981696,0.008955,0.372932
4,train,protein,raw,10,128,2.502407,0.018396,0.994097,0.002914,0.388416
4,train,plastic,raw,10,128,2.636899,0.121512,0.607161,0.765465,0.968553
4,val,protein,raw,10,128,3.415929,0.020271,0.997037,0.001796,0.525863
4,val,plastic,raw,10,128,3.608187,0.006818,0.999490,0.000368,0.564348
4,val,protein,raw,10,128,3.256568,0.029407,0.996266,0.002740,0.779218
