epoch,split,where,space,N,D,norm_mean,std_mean,cos_mu,cos_std,energy_top1
1,train,protein,raw,10,128,0.827767,0.015251,0.956519,0.021500,0.384119
1,train,plastic,raw,10,128,1.044867,0.031909,0.873137,0.041305,0.252629
1,train,protein,raw,10,128,0.854341,0.018401,0.942980,0.023701,0.309196
1,train,plastic,raw,10,128,1.042638,0.033293,0.861215,0.038846,0.239017
1,val,protein,raw,10,128,0.837583,0.014388,0.960513,0.023946,0.521811
1,val,plastic,raw,10,128,0.980441,0.007956,0.989328,0.010506,0.771637
1,val,protein,raw,10,128,0.819517,0.014914,0.955317,0.031191,0.530348
1,val,plastic,raw,10,128,0.976606,0.009973,0.984192,0.012413,0.605070
2,train,protein,raw,10,128,0.836404,0.018383,0.939710,0.024440,0.412474
2,train,plastic,raw,10,128,0.990381,0.034010,0.837132,0.047672,0.294769
2,train,protein,raw,10,128,0.837346,0.016361,0.954248,0.017118,0.351649
2,train,plastic,raw,10,128,0.996983,0.036338,0.819794,0.068389,0.289273
2,val,protein,raw,10,128,0.857414,0.014624,0.961047,0.023739,0.529056
2,val,plastic,raw,10,128,0.970363,0.020500,0.923710,0.083805,0.909694
2,val,protein,raw,10,128,0.846709,0.015158,0.955420,0.032166,0.541860
2,val,plastic,raw,10,128,0.969375,0.023652,0.904262,0.098254,0.842089
3,train,protein,raw,10,128,0.864954,0.015926,0.954899,0.030353,0.572330
3,train,plastic,raw,10,128,0.991530,0.047066,0.689496,0.087081,0.277330
3,train,protein,raw,10,128,0.850937,0.017283,0.947615,0.021948,0.298348
3,train,plastic,raw,10,128,0.971078,0.049115,0.646799,0.119214,0.311486
3,val,protein,raw,10,128,0.819937,0.015269,0.952621,0.029327,0.534084
3,val,plastic,raw,10,128,1.064638,0.030906,0.858083,0.189637,0.811085
3,val,protein,raw,10,128,0.814535,0.016070,0.944005,0.043034,0.593634
3,val,plastic,raw,10,128,1.078551,0.035260,0.816859,0.215721,0.866990
4,train,protein,raw,10,128,0.836378,0.016769,0.948699,0.021720,0.331382
4,train,plastic,raw,10,128,1.064957,0.055714,0.621053,0.179073,0.354405
4,train,protein,raw,10,128,0.802898,0.017390,0.939132,0.024026,0.328396
4,train,plastic,raw,10,128,1.064254,0.045286,0.754573,0.069622,0.265245
4,val,protein,raw,10,128,0.791497,0.016328,0.941662,0.037049,0.535141
4,val,plastic,raw,10,128,1.300765,0.021907,0.957407,0.034268,0.629579
