epoch,split,where,space,N,D,norm_mean,std_mean,cos_mu,cos_std,energy_top1
1,train,protein,raw,10,128,0.912878,0.017046,0.954586,0.021024,0.515370
1,train,plastic,raw,10,128,1.051610,0.032000,0.873002,0.031542,0.252598
1,train,protein,raw,10,128,0.917068,0.016516,0.958697,0.019966,0.465252
1,train,plastic,raw,10,128,1.027455,0.036250,0.829499,0.056038,0.273385
1,val,protein,raw,10,128,0.959580,0.018063,0.949794,0.030413,0.558218
1,val,plastic,raw,10,128,1.036234,0.010233,0.983365,0.016526,0.864716
1,val,protein,raw,10,128,0.880178,0.016903,0.956908,0.029474,0.465556
1,val,plastic,raw,10,128,1.035915,0.011118,0.981344,0.015944,0.729586
2,train,protein,raw,10,128,0.892179,0.019193,0.942703,0.029512,0.509888
2,train,plastic,raw,10,128,1.031198,0.039320,0.800908,0.054892,0.237916
2,train,protein,raw,10,128,0.904808,0.018337,0.949141,0.020629,0.356446
2,train,plastic,raw,10,128,1.032950,0.035672,0.837695,0.049846,0.282431
2,val,protein,raw,10,128,0.945395,0.018269,0.946799,0.032250,0.554621
2,val,plastic,raw,10,128,0.986843,0.022634,0.912698,0.113945,0.879380
2,val,protein,raw,10,128,0.868346,0.017160,0.953923,0.031456,0.474808
2,val,plastic,raw,10,128,0.977286,0.019568,0.934967,0.091043,0.831277
3,train,protein,raw,10,128,0.878661,0.018428,0.943652,0.032953,0.521288
3,train,plastic,raw,10,128,0.972466,0.049599,0.643503,0.108274,0.317563
3,train,protein,raw,10,128,0.915250,0.021038,0.927792,0.040226,0.580204
3,train,plastic,raw,10,128,1.011660,0.046675,0.706609,0.134612,0.375571
3,val,protein,raw,10,128,0.901634,0.018962,0.937621,0.038162,0.547382
3,val,plastic,raw,10,128,0.964761,0.021291,0.934018,0.059611,0.704386
3,val,protein,raw,10,128,0.814885,0.017984,0.943194,0.038595,0.514125
3,val,plastic,raw,10,128,0.984486,0.031562,0.822612,0.250354,0.852041
4,train,protein,raw,10,128,0.815541,0.019221,0.927056,0.044844,0.524506
4,train,plastic,raw,10,128,0.986291,0.051831,0.616129,0.229381,0.450874
4,train,protein,raw,10,128,0.862331,0.016832,0.951715,0.016876,0.383101
4,train,plastic,raw,10,128,0.988154,0.053641,0.570946,0.267669,0.472241
